|dates|Harford_Maryland_UnitedStates.BLS_EmployedPopulation.data|Harford_Maryland_UnitedStates.BLS_EmployedPopulation.missing|Harford_Maryland_UnitedStates.BLS_UnemployedPopulation.data|Harford_Maryland_UnitedStates.BLS_UnemployedPopulation.missing|Harford_Maryland_UnitedStates.BLS_UnemploymentRate.data|Harford_Maryland_UnitedStates.BLS_UnemploymentRate.missing|Harford_Maryland_UnitedStates.BLS_LaborForcePopulation.data|Harford_Maryland_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-02|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-03|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-04|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-05|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-06|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-07|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-08|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-09|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-10|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-11|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-12|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-13|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-14|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-15|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-16|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-17|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-18|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-19|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-20|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-21|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-22|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-23|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-24|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-25|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-26|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-27|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-28|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-29|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-30|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-01-31|138803.0|0|4812.0|0|3.3506249347213033|0|143615.0|0
0|2020-02-01|138858.5|0|4790.0|0|3.3345283800387753|0|143648.5|0
0|2020-02-02|138858.5|0|4790.0|0|3.3345283800387753|0|143648.5|0
0|2020-02-03|138858.5|0|4790.0|0|3.3345283800387753|0|143648.5|0
0|2020-02-04|138858.5|0|4790.0|0|3.3345283800387753|0|143648.5|0
0|2020-02-05|138858.5|0|4790.0|0|3.3345283800387753|0|143648.5|0
0|2020-02-06|138858.5|0|4790.0|0|3.3345283800387753|0|143648.5|0
0|2020-02-07|138858.5|0|4790.0|0|3.3345283800387753|0|143648.5|0
0|2020-02-08|138858.5|0|4790.0|0|3.3345283800387753|0|143648.5|0
0|2020-02-09|138858.5|0|4790.0|0|3.3345283800387753|0|143648.5|0
0|2020-02-10|138858.5|0|4790.0|0|3.3345283800387753|0|143648.5|0
0|2020-02-11|138858.5|0|4790.0|0|3.3345283800387753|0|143648.5|0
0|2020-02-12|138858.5|0|4790.0|0|3.3345283800387753|0|143648.5|0
0|2020-02-13|138858.5|0|4790.0|0|3.3345283800387753|0|143648.5|0
0|2020-02-14|138858.5|0|4790.0|0|3.3345283800387753|0|143648.5|0
0|2020-02-15|138858.5|0|4790.0|0|3.3345283800387753|0|143648.5|0
