|dates|Waukesha_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Waukesha_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Waukesha_Wisconsin_UnitedStates.Male_Total_Population.data|Waukesha_Wisconsin_UnitedStates.Male_Total_Population.missing|Waukesha_Wisconsin_UnitedStates.Female_Total_Population.data|Waukesha_Wisconsin_UnitedStates.Female_Total_Population.missing|Waukesha_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.data|Waukesha_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-02|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-03|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-04|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-05|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-06|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-07|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-08|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-09|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-10|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-11|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-12|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-13|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-14|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-15|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-16|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-17|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-18|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-19|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-20|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-21|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-22|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-23|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-24|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-25|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-26|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-27|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-28|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-29|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-30|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-01-31|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-01|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-02|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-03|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-04|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-05|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-06|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-07|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-08|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-09|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-10|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-11|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-12|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-13|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-14|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-15|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-16|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-17|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-18|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-19|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-20|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-21|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-22|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-23|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-24|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-25|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-26|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-27|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-28|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-02-29|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-03-01|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-03-02|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2020-03-03|75190.0|0|198189.0|0|204883.0|0|86695.0|0
