|dates|Cook_Minnesota_UnitedStates.BLS_EmployedPopulation.data|Cook_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|Cook_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|Cook_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|Cook_Minnesota_UnitedStates.BLS_UnemploymentRate.data|Cook_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|Cook_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|Cook_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-02|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-03|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-04|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-05|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-06|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-07|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-08|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-09|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-10|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-11|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-12|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-13|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-14|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-15|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-16|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-17|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-18|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-19|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-20|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-21|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-22|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-23|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-24|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-25|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-26|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-27|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-28|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-29|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-30|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-01-31|2720.0|0|180.5|0|6.223064988795035|0|2900.5|0
0|2020-02-01|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-02|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-03|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-04|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-05|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-06|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-07|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-08|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-09|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-10|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-11|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-12|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-13|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-14|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-15|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-16|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-17|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-18|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-19|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-20|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-21|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-22|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-23|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-24|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
0|2020-02-25|2745.0|0|163.0|0|5.605226960110041|0|2908.0|0
