|dates|Union_Illinois_UnitedStates.BLS_EmployedPopulation.data|Union_Illinois_UnitedStates.BLS_EmployedPopulation.missing|Union_Illinois_UnitedStates.BLS_UnemployedPopulation.data|Union_Illinois_UnitedStates.BLS_UnemployedPopulation.missing|Union_Illinois_UnitedStates.BLS_UnemploymentRate.data|Union_Illinois_UnitedStates.BLS_UnemploymentRate.missing|Union_Illinois_UnitedStates.BLS_LaborForcePopulation.data|Union_Illinois_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-02|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-03|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-04|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-05|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-06|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-07|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-08|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-09|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-10|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-11|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-12|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-13|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-14|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-15|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-16|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-17|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-18|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-19|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-20|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-21|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-22|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-23|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-24|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-25|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-26|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-27|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-28|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-29|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-30|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-01-31|6892.5|0|430.5|0|5.878738222040147|0|7323.0|0
0|2020-02-01|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-02|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-03|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-04|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-05|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-06|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-07|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-08|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-09|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-10|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-11|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-12|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-13|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-14|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-15|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-16|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-17|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-18|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-19|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-20|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-21|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-22|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-23|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-24|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-25|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-26|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-27|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-28|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-02-29|7001.5|0|386.0|0|5.225042301184433|0|7387.5|0
0|2020-03-01|6813.0|0|379.0|0|5.269744160177975|0|7192.0|0
0|2020-03-02|6813.0|0|379.0|0|5.269744160177975|0|7192.0|0
0|2020-03-03|6813.0|0|379.0|0|5.269744160177975|0|7192.0|0
0|2020-03-04|6813.0|0|379.0|0|5.269744160177975|0|7192.0|0
0|2020-03-05|6813.0|0|379.0|0|5.269744160177975|0|7192.0|0
0|2020-03-06|6813.0|0|379.0|0|5.269744160177975|0|7192.0|0
0|2020-03-07|6813.0|0|379.0|0|5.269744160177975|0|7192.0|0
0|2020-03-08|6813.0|0|379.0|0|5.269744160177975|0|7192.0|0
