|dates|Rusk_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Rusk_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Rusk_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Rusk_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Rusk_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Rusk_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Rusk_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Rusk_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-02|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-03|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-04|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-05|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-06|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-07|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-08|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-09|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-10|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-11|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-12|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-13|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-14|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-15|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-16|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-17|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
0|2020-01-18|6393.0|0|435.0|0|6.370826010544816|0|6828.0|0
