|dates|RioBlanco_Colorado_UnitedStates.BLS_EmployedPopulation.data|RioBlanco_Colorado_UnitedStates.BLS_EmployedPopulation.missing|RioBlanco_Colorado_UnitedStates.BLS_UnemployedPopulation.data|RioBlanco_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|RioBlanco_Colorado_UnitedStates.BLS_UnemploymentRate.data|RioBlanco_Colorado_UnitedStates.BLS_UnemploymentRate.missing|RioBlanco_Colorado_UnitedStates.BLS_LaborForcePopulation.data|RioBlanco_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-02|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-03|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-04|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-05|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-06|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-07|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-08|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-09|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-10|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-11|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-12|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-13|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-14|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-15|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-16|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-17|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-18|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-19|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-20|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-21|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-22|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-23|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-24|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-25|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-26|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-27|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-28|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
0|2020-01-29|2809.5|0|110.0|0|3.767768453502312|0|2919.5|0
