|dates|Thayer_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Thayer_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Thayer_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Thayer_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Thayer_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Thayer_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Thayer_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Thayer_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-02|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-03|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-04|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-05|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-06|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-07|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-08|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-09|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-10|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-11|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-12|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-13|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-14|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-15|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-16|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-17|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-18|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-19|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
0|2020-01-20|2712.0|0|67.5|0|2.4284943335132216|0|2779.5|0
