|dates|Lipscomb_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Lipscomb_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Lipscomb_Texas_UnitedStates.Male_Total_Population.data|Lipscomb_Texas_UnitedStates.Male_Total_Population.missing|Lipscomb_Texas_UnitedStates.Female_Total_Population.data|Lipscomb_Texas_UnitedStates.Female_Total_Population.missing|Lipscomb_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Lipscomb_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-02|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-03|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-04|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-05|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-06|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-07|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-08|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-09|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-10|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-11|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-12|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-13|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-14|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-15|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-16|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-17|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-18|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-19|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-20|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-21|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-22|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-23|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-24|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-25|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-26|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-27|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-28|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-29|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-30|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-01-31|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-02-01|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-02-02|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-02-03|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-02-04|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-02-05|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-02-06|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-02-07|608.0|0|1734.0|0|1621.0|0|867.0|0
0|2020-02-08|608.0|0|1734.0|0|1621.0|0|867.0|0
