|dates|Rock_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Rock_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Rock_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Rock_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Rock_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Rock_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Rock_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Rock_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-02|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-03|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-04|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-05|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-06|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-07|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-08|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-09|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-10|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-11|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-12|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-13|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-14|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-15|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-16|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-17|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-18|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-19|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-20|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-21|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-22|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-23|872.0|0|23.0|0|2.569832402234637|0|895.0|0
0|2020-01-24|872.0|0|23.0|0|2.569832402234637|0|895.0|0
