|dates|Richland_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Richland_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Richland_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Richland_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Richland_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Richland_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Richland_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Richland_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-02|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-03|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-04|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-05|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-06|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-07|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-08|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-09|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-10|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-11|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-12|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-13|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-14|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-15|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-16|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-17|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-18|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-19|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-20|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-21|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-22|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-23|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-24|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-25|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-26|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
0|2020-01-27|192802.5|0|5648.5|0|2.8462945512998172|0|198451.0|0
