|dates|Calumet_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Calumet_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Calumet_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Calumet_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Calumet_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Calumet_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Calumet_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Calumet_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-02|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-03|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-04|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-05|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-06|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-07|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-08|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-09|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-10|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-11|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-12|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-13|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-14|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-15|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-16|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-17|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-18|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-19|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-20|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-21|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-22|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-23|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-24|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-25|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-26|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-27|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-28|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-29|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-30|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-01-31|26569.5|0|845.5|0|3.084078059456502|0|27415.0|0
0|2020-02-01|26436.5|0|828.0|0|3.0369161363678043|0|27264.5|0
0|2020-02-02|26436.5|0|828.0|0|3.0369161363678043|0|27264.5|0
0|2020-02-03|26436.5|0|828.0|0|3.0369161363678043|0|27264.5|0
0|2020-02-04|26436.5|0|828.0|0|3.0369161363678043|0|27264.5|0
0|2020-02-05|26436.5|0|828.0|0|3.0369161363678043|0|27264.5|0
0|2020-02-06|26436.5|0|828.0|0|3.0369161363678043|0|27264.5|0
0|2020-02-07|26436.5|0|828.0|0|3.0369161363678043|0|27264.5|0
0|2020-02-08|26436.5|0|828.0|0|3.0369161363678043|0|27264.5|0
0|2020-02-09|26436.5|0|828.0|0|3.0369161363678043|0|27264.5|0
