|dates|Plymouth_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Plymouth_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Plymouth_Massachusetts_UnitedStates.Male_Total_Population.data|Plymouth_Massachusetts_UnitedStates.Male_Total_Population.missing|Plymouth_Massachusetts_UnitedStates.Female_Total_Population.data|Plymouth_Massachusetts_UnitedStates.Female_Total_Population.missing|Plymouth_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.data|Plymouth_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-02|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-03|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-04|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-05|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-06|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-07|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-08|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-09|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-10|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-11|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-12|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-13|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-14|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-15|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-16|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-17|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-18|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-19|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-20|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-21|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-22|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-23|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-24|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-25|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-26|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-27|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-28|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-29|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-30|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-01-31|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-02-01|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-02-02|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-02-03|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-02-04|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-02-05|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-02-06|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-02-07|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-02-08|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-02-09|93864.0|0|251872.0|0|266260.0|0|110660.0|0
0|2020-02-10|93864.0|0|251872.0|0|266260.0|0|110660.0|0
