|dates|KetchikanGateway_Alaska_UnitedStates.BLS_EmployedPopulation.data|KetchikanGateway_Alaska_UnitedStates.BLS_EmployedPopulation.missing|KetchikanGateway_Alaska_UnitedStates.BLS_UnemployedPopulation.data|KetchikanGateway_Alaska_UnitedStates.BLS_UnemployedPopulation.missing|KetchikanGateway_Alaska_UnitedStates.BLS_UnemploymentRate.data|KetchikanGateway_Alaska_UnitedStates.BLS_UnemploymentRate.missing|KetchikanGateway_Alaska_UnitedStates.BLS_LaborForcePopulation.data|KetchikanGateway_Alaska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-02|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-03|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-04|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-05|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-06|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-07|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-08|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-09|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-10|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-11|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-12|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-13|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-14|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-15|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-16|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-17|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-18|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
0|2020-01-19|5854.5|0|459.5|0|7.277478618942034|0|6314.0|0
