|dates|JimHogg_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|JimHogg_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|JimHogg_Texas_UnitedStates.Male_Total_Population.data|JimHogg_Texas_UnitedStates.Male_Total_Population.missing|JimHogg_Texas_UnitedStates.Female_Total_Population.data|JimHogg_Texas_UnitedStates.Female_Total_Population.missing|JimHogg_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|JimHogg_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-02|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-03|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-04|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-05|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-06|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-07|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-08|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-09|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-10|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-11|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-12|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-13|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-14|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-15|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-16|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-17|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-18|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-19|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-20|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-21|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-22|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-23|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-24|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-25|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-26|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-27|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-28|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-29|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-30|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-01-31|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-02-01|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-02-02|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-02-03|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-02-04|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-02-05|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-02-06|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-02-07|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-02-08|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-02-09|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-02-10|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-02-11|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-02-12|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-02-13|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-02-14|923.0|0|2694.0|0|2554.0|0|1613.0|0
0|2020-02-15|923.0|0|2694.0|0|2554.0|0|1613.0|0
