|dates|Muskingum_Ohio_UnitedStates.BLS_EmployedPopulation.data|Muskingum_Ohio_UnitedStates.BLS_EmployedPopulation.missing|Muskingum_Ohio_UnitedStates.BLS_UnemployedPopulation.data|Muskingum_Ohio_UnitedStates.BLS_UnemployedPopulation.missing|Muskingum_Ohio_UnitedStates.BLS_UnemploymentRate.data|Muskingum_Ohio_UnitedStates.BLS_UnemploymentRate.missing|Muskingum_Ohio_UnitedStates.BLS_LaborForcePopulation.data|Muskingum_Ohio_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-02|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-03|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-04|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-05|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-06|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-07|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-08|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-09|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-10|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-11|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-12|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-13|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-14|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-15|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-16|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-17|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-18|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-19|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-20|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-21|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-22|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-23|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-24|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-25|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-26|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-27|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-28|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-29|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-30|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-01-31|37379.0|0|2751.0|0|6.855220533266882|0|40130.0|0
0|2020-02-01|37937.5|0|2584.5|0|6.378016879719659|0|40522.0|0
0|2020-02-02|37937.5|0|2584.5|0|6.378016879719659|0|40522.0|0
0|2020-02-03|37937.5|0|2584.5|0|6.378016879719659|0|40522.0|0
0|2020-02-04|37937.5|0|2584.5|0|6.378016879719659|0|40522.0|0
0|2020-02-05|37937.5|0|2584.5|0|6.378016879719659|0|40522.0|0
0|2020-02-06|37937.5|0|2584.5|0|6.378016879719659|0|40522.0|0
0|2020-02-07|37937.5|0|2584.5|0|6.378016879719659|0|40522.0|0
0|2020-02-08|37937.5|0|2584.5|0|6.378016879719659|0|40522.0|0
0|2020-02-09|37937.5|0|2584.5|0|6.378016879719659|0|40522.0|0
0|2020-02-10|37937.5|0|2584.5|0|6.378016879719659|0|40522.0|0
0|2020-02-11|37937.5|0|2584.5|0|6.378016879719659|0|40522.0|0
0|2020-02-12|37937.5|0|2584.5|0|6.378016879719659|0|40522.0|0
