|dates|Bradford_Florida_UnitedStates.BLS_EmployedPopulation.data|Bradford_Florida_UnitedStates.BLS_EmployedPopulation.missing|Bradford_Florida_UnitedStates.BLS_UnemployedPopulation.data|Bradford_Florida_UnitedStates.BLS_UnemployedPopulation.missing|Bradford_Florida_UnitedStates.BLS_UnemploymentRate.data|Bradford_Florida_UnitedStates.BLS_UnemploymentRate.missing|Bradford_Florida_UnitedStates.BLS_LaborForcePopulation.data|Bradford_Florida_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-02|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-03|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-04|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-05|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-06|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-07|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-08|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-09|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-10|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-11|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-12|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-13|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-14|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-15|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-16|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-17|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-18|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-19|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-20|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-21|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-22|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-23|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-24|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-25|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-26|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-27|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-28|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-29|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-30|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-01-31|10678.0|0|389.5|0|3.51931330472103|0|11067.5|0
0|2020-02-01|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-02|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-03|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-04|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-05|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-06|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-07|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-08|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-09|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-10|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-11|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-12|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-13|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-14|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-15|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-16|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-17|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-18|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-19|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-20|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-21|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-22|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-23|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-24|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-25|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
0|2020-02-26|10785.5|0|390.0|0|3.4897767437698537|0|11175.5|0
