|dates|Deuel_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Deuel_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Deuel_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Deuel_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Deuel_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Deuel_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Deuel_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Deuel_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-02|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-03|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-04|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-05|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-06|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-07|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-08|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-09|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-10|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-11|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-12|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-13|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-14|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-15|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-16|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-17|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-18|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-19|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-20|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-21|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-22|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-23|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-24|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-25|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-26|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-27|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-28|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-29|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-30|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-01-31|939.0|0|31.0|0|3.195876288659794|0|970.0|0
0|2020-02-01|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-02|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-03|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-04|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-05|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-06|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-07|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-08|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-09|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-10|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-11|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-12|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-13|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-14|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-15|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-16|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-17|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-18|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-19|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-20|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-21|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
0|2020-02-22|931.5|0|23.0|0|2.4096385542168677|0|954.5|0
