|dates|Morgan_Missouri_UnitedStates.BLS_EmployedPopulation.data|Morgan_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Morgan_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Morgan_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Morgan_Missouri_UnitedStates.BLS_UnemploymentRate.data|Morgan_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Morgan_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Morgan_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-02|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-03|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-04|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-05|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-06|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-07|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-08|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-09|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-10|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-11|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-12|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-13|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-14|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-15|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-16|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-17|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-18|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-19|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-20|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-21|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-22|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-23|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-24|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-25|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-26|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-27|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-28|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-29|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-30|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-01-31|7624.5|0|507.5|0|6.240777176586326|0|8132.0|0
0|2020-02-01|7668.5|0|489.5|0|6.000245158126992|0|8158.0|0
0|2020-02-02|7668.5|0|489.5|0|6.000245158126992|0|8158.0|0
0|2020-02-03|7668.5|0|489.5|0|6.000245158126992|0|8158.0|0
0|2020-02-04|7668.5|0|489.5|0|6.000245158126992|0|8158.0|0
0|2020-02-05|7668.5|0|489.5|0|6.000245158126992|0|8158.0|0
0|2020-02-06|7668.5|0|489.5|0|6.000245158126992|0|8158.0|0
0|2020-02-07|7668.5|0|489.5|0|6.000245158126992|0|8158.0|0
0|2020-02-08|7668.5|0|489.5|0|6.000245158126992|0|8158.0|0
