|dates|Traverse_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Traverse_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Traverse_Minnesota_UnitedStates.Male_Total_Population.data|Traverse_Minnesota_UnitedStates.Male_Total_Population.missing|Traverse_Minnesota_UnitedStates.Female_Total_Population.data|Traverse_Minnesota_UnitedStates.Female_Total_Population.missing|Traverse_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.data|Traverse_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-02|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-03|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-04|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-05|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-06|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-07|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-08|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-09|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-10|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-11|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-12|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-13|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-14|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-15|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-16|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-17|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-18|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-19|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-20|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-21|832.0|0|1659.0|0|1649.0|0|693.0|0
0|2020-01-22|832.0|0|1659.0|0|1649.0|0|693.0|0
