|dates|Bedford_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Bedford_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Bedford_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Bedford_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Bedford_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Bedford_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Bedford_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Bedford_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-02|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-03|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-04|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-05|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-06|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-07|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-08|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-09|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-10|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-11|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-12|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-13|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-14|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-15|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-16|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-17|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-18|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-19|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-20|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-21|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-22|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-23|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-24|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
0|2020-01-25|22105.0|0|1532.0|0|6.481363963277912|0|23637.0|0
