|dates|Broadwater_Montana_UnitedStates.BLS_EmployedPopulation.data|Broadwater_Montana_UnitedStates.BLS_EmployedPopulation.missing|Broadwater_Montana_UnitedStates.BLS_UnemployedPopulation.data|Broadwater_Montana_UnitedStates.BLS_UnemployedPopulation.missing|Broadwater_Montana_UnitedStates.BLS_UnemploymentRate.data|Broadwater_Montana_UnitedStates.BLS_UnemploymentRate.missing|Broadwater_Montana_UnitedStates.BLS_LaborForcePopulation.data|Broadwater_Montana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-02|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-03|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-04|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-05|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-06|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-07|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-08|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-09|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-10|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-11|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-12|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-13|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-14|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-15|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-16|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-17|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-18|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-19|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-20|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-21|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-22|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-23|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-24|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-25|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-26|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-27|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-28|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
0|2020-01-29|2448.0|0|143.5|0|5.537333590584604|0|2591.5|0
