|dates|Morton_NorthDakota_UnitedStates.BLS_EmployedPopulation.data|Morton_NorthDakota_UnitedStates.BLS_EmployedPopulation.missing|Morton_NorthDakota_UnitedStates.BLS_UnemployedPopulation.data|Morton_NorthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Morton_NorthDakota_UnitedStates.BLS_UnemploymentRate.data|Morton_NorthDakota_UnitedStates.BLS_UnemploymentRate.missing|Morton_NorthDakota_UnitedStates.BLS_LaborForcePopulation.data|Morton_NorthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-02|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-03|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-04|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-05|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-06|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-07|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-08|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-09|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-10|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-11|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-12|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-13|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-14|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-15|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-16|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-17|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-18|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-19|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-20|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-21|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-22|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-23|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-24|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-25|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-26|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-27|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-28|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-29|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-30|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-01-31|15657.0|0|653.0|0|4.0036787247087675|0|16310.0|0
0|2020-02-01|15751.5|0|628.0|0|3.834060868768888|0|16379.5|0
0|2020-02-02|15751.5|0|628.0|0|3.834060868768888|0|16379.5|0
0|2020-02-03|15751.5|0|628.0|0|3.834060868768888|0|16379.5|0
0|2020-02-04|15751.5|0|628.0|0|3.834060868768888|0|16379.5|0
0|2020-02-05|15751.5|0|628.0|0|3.834060868768888|0|16379.5|0
0|2020-02-06|15751.5|0|628.0|0|3.834060868768888|0|16379.5|0
