|dates|Mason_Washington_UnitedStates.BLS_EmployedPopulation.data|Mason_Washington_UnitedStates.BLS_EmployedPopulation.missing|Mason_Washington_UnitedStates.BLS_UnemployedPopulation.data|Mason_Washington_UnitedStates.BLS_UnemployedPopulation.missing|Mason_Washington_UnitedStates.BLS_UnemploymentRate.data|Mason_Washington_UnitedStates.BLS_UnemploymentRate.missing|Mason_Washington_UnitedStates.BLS_LaborForcePopulation.data|Mason_Washington_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-02|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-03|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-04|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-05|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-06|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-07|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-08|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-09|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-10|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-11|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-12|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-13|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-14|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-15|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-16|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-17|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-18|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-19|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-20|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
0|2020-01-21|24333.0|0|1738.5|0|6.668200909038605|0|26071.5|0
