|dates|Collier_Florida_UnitedStates.BLS_EmployedPopulation.data|Collier_Florida_UnitedStates.BLS_EmployedPopulation.missing|Collier_Florida_UnitedStates.BLS_UnemployedPopulation.data|Collier_Florida_UnitedStates.BLS_UnemployedPopulation.missing|Collier_Florida_UnitedStates.BLS_UnemploymentRate.data|Collier_Florida_UnitedStates.BLS_UnemploymentRate.missing|Collier_Florida_UnitedStates.BLS_LaborForcePopulation.data|Collier_Florida_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-02|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-03|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-04|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-05|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-06|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-07|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-08|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-09|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-10|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-11|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-12|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-13|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-14|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-15|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-16|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-17|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-18|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-19|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-20|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-21|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-22|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-23|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-24|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-25|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-26|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-27|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-28|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-29|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-30|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-01-31|180733.0|0|5934.5|0|3.1791822357935904|0|186667.5|0
0|2020-02-01|181608.0|0|5465.5|0|2.921578951588547|0|187073.5|0
0|2020-02-02|181608.0|0|5465.5|0|2.921578951588547|0|187073.5|0
0|2020-02-03|181608.0|0|5465.5|0|2.921578951588547|0|187073.5|0
