|dates|Fulton_Indiana_UnitedStates.BLS_EmployedPopulation.data|Fulton_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Fulton_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Fulton_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Fulton_Indiana_UnitedStates.BLS_UnemploymentRate.data|Fulton_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Fulton_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Fulton_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-02|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-03|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-04|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-05|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-06|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-07|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-08|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-09|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-10|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-11|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-12|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-13|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-14|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-15|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-16|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-17|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-18|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-19|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-20|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-21|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-22|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-23|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-24|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-25|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-26|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-27|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-28|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-29|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-30|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-01-31|9160.0|0|396.5|0|4.149008528226862|0|9556.5|0
0|2020-02-01|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-02|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-03|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-04|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-05|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-06|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-07|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-08|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-09|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-10|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-11|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-12|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-13|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-14|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-15|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-16|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-17|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-18|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-19|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-20|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-21|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-22|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-23|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-24|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-25|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
0|2020-02-26|9123.5|0|366.0|0|3.8568944623004375|0|9489.5|0
