|dates|Sutton_Texas_UnitedStates.BLS_EmployedPopulation.data|Sutton_Texas_UnitedStates.BLS_EmployedPopulation.missing|Sutton_Texas_UnitedStates.BLS_UnemployedPopulation.data|Sutton_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Sutton_Texas_UnitedStates.BLS_UnemploymentRate.data|Sutton_Texas_UnitedStates.BLS_UnemploymentRate.missing|Sutton_Texas_UnitedStates.BLS_LaborForcePopulation.data|Sutton_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-02|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-03|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-04|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-05|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-06|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-07|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-08|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-09|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-10|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-11|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-12|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-13|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-14|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-15|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-16|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-17|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-18|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-19|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-20|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-21|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-22|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-23|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-24|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-25|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-26|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-27|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-28|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-29|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-30|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-01-31|1236.5|0|60.0|0|4.627844195912071|0|1296.5|0
0|2020-02-01|1251.0|0|52.5|0|4.027617951668584|0|1303.5|0
