|dates|Teton_Montana_UnitedStates.BLS_EmployedPopulation.data|Teton_Montana_UnitedStates.BLS_EmployedPopulation.missing|Teton_Montana_UnitedStates.BLS_UnemployedPopulation.data|Teton_Montana_UnitedStates.BLS_UnemployedPopulation.missing|Teton_Montana_UnitedStates.BLS_UnemploymentRate.data|Teton_Montana_UnitedStates.BLS_UnemploymentRate.missing|Teton_Montana_UnitedStates.BLS_LaborForcePopulation.data|Teton_Montana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-02|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-03|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-04|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-05|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-06|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-07|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-08|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-09|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-10|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-11|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-12|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-13|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-14|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-15|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-16|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-17|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-18|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-19|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-20|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-21|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-22|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-23|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-24|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-25|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-26|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-27|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-28|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-29|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-30|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-01-31|2602.5|0|140.5|0|5.122129055778345|0|2743.0|0
0|2020-02-01|2652.0|0|116.0|0|4.190751445086705|0|2768.0|0
0|2020-02-02|2652.0|0|116.0|0|4.190751445086705|0|2768.0|0
0|2020-02-03|2652.0|0|116.0|0|4.190751445086705|0|2768.0|0
0|2020-02-04|2652.0|0|116.0|0|4.190751445086705|0|2768.0|0
0|2020-02-05|2652.0|0|116.0|0|4.190751445086705|0|2768.0|0
0|2020-02-06|2652.0|0|116.0|0|4.190751445086705|0|2768.0|0
0|2020-02-07|2652.0|0|116.0|0|4.190751445086705|0|2768.0|0
0|2020-02-08|2652.0|0|116.0|0|4.190751445086705|0|2768.0|0
0|2020-02-09|2652.0|0|116.0|0|4.190751445086705|0|2768.0|0
0|2020-02-10|2652.0|0|116.0|0|4.190751445086705|0|2768.0|0
0|2020-02-11|2652.0|0|116.0|0|4.190751445086705|0|2768.0|0
0|2020-02-12|2652.0|0|116.0|0|4.190751445086705|0|2768.0|0
0|2020-02-13|2652.0|0|116.0|0|4.190751445086705|0|2768.0|0
