|dates|Franklin_Kentucky_UnitedStates.AveragePrecipitationTotal.data|Franklin_Kentucky_UnitedStates.AveragePrecipitationTotal.missing|Franklin_Kentucky_UnitedStates.AveragePrecipitation.data|Franklin_Kentucky_UnitedStates.AveragePrecipitation.missing|Franklin_Kentucky_UnitedStates.AverageWindDirection.data|Franklin_Kentucky_UnitedStates.AverageWindDirection.missing|Franklin_Kentucky_UnitedStates.AverageWindSpeed.data|Franklin_Kentucky_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|219.79166666666666|0|8.125|0
0|2020-01-02|0.0|0|0.006388888888888889|0|156.94444444444443|0|7.388888888888888|0
0|2020-01-03|0.017083333333333332|0|0.022291666666666668|0|191.77083333333334|0|5.263888888888889|0
0|2020-01-04|0.010625|0|0.004305555555555556|0|249.79166666666666|0|8.819444444444445|0
0|2020-01-05|0.0|0|0.0|0|232.5|0|9.645833333333334|0
0|2020-01-06|0.0|0|0.0|0|128.33333333333334|0|2.8333333333333335|0
0|2020-01-07|0.0|0|0.0|0|197.5|0|7.125|0
0|2020-01-08|0.0|0|0.0|0|173.8888888888889|0|5.9305555555555545|0
0|2020-01-09|0.0|0|0.0|0|129.58333333333334|0|9.125|0
0|2020-01-10|0.0|0|0.00375|0|167.91666666666666|0|12.25|0
0|2020-01-11|0.004166666666666667|0|0.03024305555555556|0|183.7847222222222|0|16.684027777777775|0
0|2020-01-12|0.04|0|0.0|0|117.5|0|3.9583333333333335|0
0|2020-01-13|0.0|0|0.0|0|94.375|0|2.2083333333333335|0
0|2020-01-14|0.0004166666666666667|0|0.0003333333333333333|0|125.02777777777777|0|3.7194444444444446|0
0|2020-01-15|0.0|0|0.0004761904761904762|0|160.57638888888889|0|6.030456349206349|0
0|2020-01-16|0.0008333333333333334|0|0.0|0|304.86111111111114|0|9.361111111111112|0
0|2020-01-17|0.0|0|0.0|0|88.33333333333333|0|10.583333333333334|0
0|2020-01-18|0.0|0|0.013125000000000003|0|208.36805555555557|0|13.437500000000002|0
0|2020-01-19|0.008541666666666666|0|0.0|0|279.13194444444446|0|9.989583333333334|0
