|dates|Logan_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Logan_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Logan_NorthDakota_UnitedStates.Male_Total_Population.data|Logan_NorthDakota_UnitedStates.Male_Total_Population.missing|Logan_NorthDakota_UnitedStates.Female_Total_Population.data|Logan_NorthDakota_UnitedStates.Female_Total_Population.missing|Logan_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Logan_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-03-29|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-03-30|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-03-31|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-01|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-02|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-03|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-04|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-05|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-06|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-07|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-08|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-09|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-10|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-11|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-12|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-13|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-14|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-15|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-16|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-17|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-18|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-19|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-20|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-21|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-22|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-23|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-24|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-25|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-26|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-27|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-28|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-29|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-04-30|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-01|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-02|494.0|0|983.0|0|920.0|0|438.0|0
