|dates|Morgan_Utah_UnitedStates.BLS_EmployedPopulation.data|Morgan_Utah_UnitedStates.BLS_EmployedPopulation.missing|Morgan_Utah_UnitedStates.BLS_UnemployedPopulation.data|Morgan_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Morgan_Utah_UnitedStates.BLS_UnemploymentRate.data|Morgan_Utah_UnitedStates.BLS_UnemploymentRate.missing|Morgan_Utah_UnitedStates.BLS_LaborForcePopulation.data|Morgan_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-02|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-03|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-04|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-05|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-06|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-07|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-08|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-09|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-10|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-11|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-12|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-13|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-14|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-15|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-16|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-17|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-18|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-19|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
0|2020-01-20|5441.5|0|136.0|0|2.4383684446436575|0|5577.5|0
