|dates|McLean_NorthDakota_UnitedStates.BLS_EmployedPopulation.data|McLean_NorthDakota_UnitedStates.BLS_EmployedPopulation.missing|McLean_NorthDakota_UnitedStates.BLS_UnemployedPopulation.data|McLean_NorthDakota_UnitedStates.BLS_UnemployedPopulation.missing|McLean_NorthDakota_UnitedStates.BLS_UnemploymentRate.data|McLean_NorthDakota_UnitedStates.BLS_UnemploymentRate.missing|McLean_NorthDakota_UnitedStates.BLS_LaborForcePopulation.data|McLean_NorthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-02|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-03|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-04|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-05|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-06|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-07|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-08|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-09|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-10|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-11|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-12|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-13|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-14|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-15|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-16|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-17|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-18|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
0|2020-01-19|4392.5|0|202.5|0|4.4069640914037|0|4595.0|0
