|dates|GreenLake_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|GreenLake_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|GreenLake_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|GreenLake_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|GreenLake_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|GreenLake_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|GreenLake_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|GreenLake_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-02|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-03|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-04|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-05|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-06|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-07|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-08|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-09|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-10|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-11|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-12|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-13|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-14|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-15|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-16|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-17|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-18|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-19|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-20|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-21|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-22|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-23|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-24|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-25|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-26|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-27|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-28|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-29|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-30|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-01-31|8614.5|0|504.0|0|5.527224872511926|0|9118.5|0
0|2020-02-01|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-02|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-03|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-04|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-05|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-06|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-07|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-08|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-09|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-10|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-11|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-12|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-13|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-14|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-15|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-16|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-17|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-18|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-19|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-20|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-21|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-22|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-23|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-24|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-25|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-26|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-27|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-28|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-02-29|8475.0|0|500.5|0|5.576291014428166|0|8975.5|0
0|2020-03-01|8511.5|0|444.0|0|4.957847133046731|0|8955.5|0
0|2020-03-02|8511.5|0|444.0|0|4.957847133046731|0|8955.5|0
0|2020-03-03|8511.5|0|444.0|0|4.957847133046731|0|8955.5|0
0|2020-03-04|8511.5|0|444.0|0|4.957847133046731|0|8955.5|0
0|2020-03-05|8511.5|0|444.0|0|4.957847133046731|0|8955.5|0
