|dates|Greene_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Greene_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Greene_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Greene_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Greene_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Greene_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Greene_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Greene_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-02|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-03|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-04|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-05|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-06|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-07|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-08|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-09|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-10|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-11|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-12|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-13|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-14|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-15|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-16|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-17|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-18|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-19|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-20|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-21|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-22|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-23|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
0|2020-01-24|9432.5|0|347.0|0|3.548238662508308|0|9779.5|0
