|dates|Franklin_Maine_UnitedStates.BLS_EmployedPopulation.data|Franklin_Maine_UnitedStates.BLS_EmployedPopulation.missing|Franklin_Maine_UnitedStates.BLS_UnemployedPopulation.data|Franklin_Maine_UnitedStates.BLS_UnemployedPopulation.missing|Franklin_Maine_UnitedStates.BLS_UnemploymentRate.data|Franklin_Maine_UnitedStates.BLS_UnemploymentRate.missing|Franklin_Maine_UnitedStates.BLS_LaborForcePopulation.data|Franklin_Maine_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-02|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-03|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-04|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-05|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-06|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-07|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-08|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-09|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-10|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-11|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-12|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-13|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-14|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-15|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-16|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-17|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-18|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-19|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-20|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-21|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-22|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-23|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-24|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-25|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-26|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-27|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-28|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-29|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-30|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-01-31|13724.0|0|620.5|0|4.325699745547074|0|14344.5|0
0|2020-02-01|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-02|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-03|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-04|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-05|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-06|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-07|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-08|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-09|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-10|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-11|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-12|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-13|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-14|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-15|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-16|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-17|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-18|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-19|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-20|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-21|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-22|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
0|2020-02-23|13963.5|0|614.0|0|4.211970502486709|0|14577.5|0
