|dates|Converse_Wyoming_UnitedStates.BLS_EmployedPopulation.data|Converse_Wyoming_UnitedStates.BLS_EmployedPopulation.missing|Converse_Wyoming_UnitedStates.BLS_UnemployedPopulation.data|Converse_Wyoming_UnitedStates.BLS_UnemployedPopulation.missing|Converse_Wyoming_UnitedStates.BLS_UnemploymentRate.data|Converse_Wyoming_UnitedStates.BLS_UnemploymentRate.missing|Converse_Wyoming_UnitedStates.BLS_LaborForcePopulation.data|Converse_Wyoming_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-02|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-03|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-04|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-05|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-06|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-07|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-08|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-09|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-10|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-11|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-12|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-13|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-14|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-15|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-16|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-17|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-18|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-19|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-20|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-21|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-22|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-23|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-24|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-25|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-26|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-27|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-28|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-29|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-30|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-01-31|8659.0|0|293.0|0|3.273011617515639|0|8952.0|0
0|2020-02-01|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-02|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-03|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-04|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-05|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-06|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-07|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-08|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-09|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-10|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-11|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-12|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-13|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-14|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-15|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-16|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-17|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-18|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
0|2020-02-19|8613.0|0|306.0|0|3.43087790110999|0|8919.0|0
