|dates|Lancaster_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Lancaster_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Lancaster_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Lancaster_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Lancaster_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Lancaster_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Lancaster_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Lancaster_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-02|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-03|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-04|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-05|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-06|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-07|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-08|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-09|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-10|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-11|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-12|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-13|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-14|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-15|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-16|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-17|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-18|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-19|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-20|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-21|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-22|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-23|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-24|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-25|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-26|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-27|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-28|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
0|2020-01-29|273052.5|0|11195.0|0|3.938469115823358|0|284247.5|0
