|dates|McDuffie_Georgia_UnitedStates.BLS_EmployedPopulation.data|McDuffie_Georgia_UnitedStates.BLS_EmployedPopulation.missing|McDuffie_Georgia_UnitedStates.BLS_UnemployedPopulation.data|McDuffie_Georgia_UnitedStates.BLS_UnemployedPopulation.missing|McDuffie_Georgia_UnitedStates.BLS_UnemploymentRate.data|McDuffie_Georgia_UnitedStates.BLS_UnemploymentRate.missing|McDuffie_Georgia_UnitedStates.BLS_LaborForcePopulation.data|McDuffie_Georgia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-02|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-03|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-04|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-05|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-06|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-07|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-08|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-09|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-10|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-11|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-12|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-13|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-14|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-15|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-16|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-17|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-18|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-19|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-20|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-21|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-22|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-23|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-24|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-25|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-26|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-27|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-28|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-29|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-30|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-01-31|8438.5|0|472.0|0|5.297121373660288|0|8910.5|0
0|2020-02-01|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-02|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-03|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-04|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-05|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-06|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-07|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-08|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-09|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-10|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-11|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-12|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-13|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-14|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-15|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-16|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-17|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-18|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-19|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-20|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-21|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-22|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-23|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-24|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-25|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-26|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-27|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-28|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-02-29|8494.0|0|461.5|0|5.153257774551951|0|8955.5|0
0|2020-03-01|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-02|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-03|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-04|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-05|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-06|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-07|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-08|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-09|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-10|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-11|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-12|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-13|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-14|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-15|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-16|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-17|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-18|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-19|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-20|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
0|2020-03-21|8435.0|0|505.0|0|5.648769574944072|0|8940.0|0
