|dates|Jefferson_Missouri_UnitedStates.BLS_EmployedPopulation.data|Jefferson_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Jefferson_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Jefferson_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Jefferson_Missouri_UnitedStates.BLS_UnemploymentRate.data|Jefferson_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Jefferson_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Jefferson_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-02|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-03|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-04|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-05|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-06|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-07|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-08|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-09|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-10|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-11|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-12|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-13|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-14|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-15|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-16|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-17|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-18|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-19|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-20|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-21|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-22|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-23|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-24|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-25|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-26|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-27|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-28|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-29|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-30|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-01-31|114199.0|0|4770.0|0|4.0094478393531086|0|118969.0|0
0|2020-02-01|114650.5|0|4556.5|0|3.8223426476633082|0|119207.0|0
0|2020-02-02|114650.5|0|4556.5|0|3.8223426476633082|0|119207.0|0
0|2020-02-03|114650.5|0|4556.5|0|3.8223426476633082|0|119207.0|0
0|2020-02-04|114650.5|0|4556.5|0|3.8223426476633082|0|119207.0|0
0|2020-02-05|114650.5|0|4556.5|0|3.8223426476633082|0|119207.0|0
0|2020-02-06|114650.5|0|4556.5|0|3.8223426476633082|0|119207.0|0
0|2020-02-07|114650.5|0|4556.5|0|3.8223426476633082|0|119207.0|0
0|2020-02-08|114650.5|0|4556.5|0|3.8223426476633082|0|119207.0|0
0|2020-02-09|114650.5|0|4556.5|0|3.8223426476633082|0|119207.0|0
