|dates|Jasper_Iowa_UnitedStates.BLS_EmployedPopulation.data|Jasper_Iowa_UnitedStates.BLS_EmployedPopulation.missing|Jasper_Iowa_UnitedStates.BLS_UnemployedPopulation.data|Jasper_Iowa_UnitedStates.BLS_UnemployedPopulation.missing|Jasper_Iowa_UnitedStates.BLS_UnemploymentRate.data|Jasper_Iowa_UnitedStates.BLS_UnemploymentRate.missing|Jasper_Iowa_UnitedStates.BLS_LaborForcePopulation.data|Jasper_Iowa_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-02|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-03|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-04|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-05|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-06|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-07|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-08|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-09|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-10|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-11|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-12|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-13|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-14|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-15|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-16|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-17|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-18|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-19|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-20|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-21|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-22|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-23|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-24|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-25|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-26|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-27|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-28|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-29|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-30|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-01-31|19273.5|0|771.0|0|3.846441667290279|0|20044.5|0
0|2020-02-01|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-02|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-03|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-04|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-05|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-06|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-07|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-08|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-09|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-10|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-11|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-12|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-13|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-14|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-15|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-16|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-17|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-18|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-19|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-20|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-21|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-22|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-23|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-24|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-25|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-26|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-27|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-28|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-02-29|19334.5|0|686.0|0|3.4264878499537974|0|20020.5|0
0|2020-03-01|19000.5|0|722.5|0|3.6632358160523246|0|19723.0|0
0|2020-03-02|19000.5|0|722.5|0|3.6632358160523246|0|19723.0|0
0|2020-03-03|19000.5|0|722.5|0|3.6632358160523246|0|19723.0|0
0|2020-03-04|19000.5|0|722.5|0|3.6632358160523246|0|19723.0|0
0|2020-03-05|19000.5|0|722.5|0|3.6632358160523246|0|19723.0|0
0|2020-03-06|19000.5|0|722.5|0|3.6632358160523246|0|19723.0|0
0|2020-03-07|19000.5|0|722.5|0|3.6632358160523246|0|19723.0|0
0|2020-03-08|19000.5|0|722.5|0|3.6632358160523246|0|19723.0|0
0|2020-03-09|19000.5|0|722.5|0|3.6632358160523246|0|19723.0|0
0|2020-03-10|19000.5|0|722.5|0|3.6632358160523246|0|19723.0|0
0|2020-03-11|19000.5|0|722.5|0|3.6632358160523246|0|19723.0|0
0|2020-03-12|19000.5|0|722.5|0|3.6632358160523246|0|19723.0|0
0|2020-03-13|19000.5|0|722.5|0|3.6632358160523246|0|19723.0|0
