|dates|Oconto_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Oconto_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Oconto_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Oconto_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Oconto_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Oconto_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Oconto_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Oconto_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-02|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-03|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-04|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-05|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-06|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-07|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-08|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-09|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-10|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-11|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-12|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-13|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-14|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-15|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-16|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-17|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-18|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-19|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-20|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-21|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-22|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-23|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-24|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-25|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-26|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-27|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-28|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-29|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-30|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-01-31|19613.5|0|1075.0|0|5.196123450225971|0|20688.5|0
0|2020-02-01|19482.0|0|1047.0|0|5.100102294315358|0|20529.0|0
0|2020-02-02|19482.0|0|1047.0|0|5.100102294315358|0|20529.0|0
0|2020-02-03|19482.0|0|1047.0|0|5.100102294315358|0|20529.0|0
0|2020-02-04|19482.0|0|1047.0|0|5.100102294315358|0|20529.0|0
0|2020-02-05|19482.0|0|1047.0|0|5.100102294315358|0|20529.0|0
0|2020-02-06|19482.0|0|1047.0|0|5.100102294315358|0|20529.0|0
