|dates|Lincoln_Nevada_UnitedStates.BLS_EmployedPopulation.data|Lincoln_Nevada_UnitedStates.BLS_EmployedPopulation.missing|Lincoln_Nevada_UnitedStates.BLS_UnemployedPopulation.data|Lincoln_Nevada_UnitedStates.BLS_UnemployedPopulation.missing|Lincoln_Nevada_UnitedStates.BLS_UnemploymentRate.data|Lincoln_Nevada_UnitedStates.BLS_UnemploymentRate.missing|Lincoln_Nevada_UnitedStates.BLS_LaborForcePopulation.data|Lincoln_Nevada_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-02|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-03|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-04|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-05|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-06|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-07|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-08|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-09|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-10|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-11|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-12|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-13|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-14|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-15|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-16|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-17|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-18|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-19|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-20|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-21|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-22|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-23|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-24|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-25|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-26|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-27|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-28|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-29|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-30|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-01-31|2085.5|0|82.0|0|3.7831603229527104|0|2167.5|0
0|2020-02-01|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-02|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-03|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-04|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-05|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-06|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-07|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-08|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-09|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-10|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-11|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-12|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-13|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-14|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-15|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-16|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-17|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-18|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-19|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-20|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-21|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
0|2020-02-22|2067.5|0|80.0|0|3.7252619324796274|0|2147.5|0
