|dates|Macon_Georgia_UnitedStates.BLS_EmployedPopulation.data|Macon_Georgia_UnitedStates.BLS_EmployedPopulation.missing|Macon_Georgia_UnitedStates.BLS_UnemployedPopulation.data|Macon_Georgia_UnitedStates.BLS_UnemployedPopulation.missing|Macon_Georgia_UnitedStates.BLS_UnemploymentRate.data|Macon_Georgia_UnitedStates.BLS_UnemploymentRate.missing|Macon_Georgia_UnitedStates.BLS_LaborForcePopulation.data|Macon_Georgia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-02|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-03|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-04|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-05|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-06|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-07|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-08|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-09|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-10|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-11|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-12|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-13|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-14|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-15|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-16|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-17|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-18|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-19|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-20|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-21|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-22|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-23|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-24|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-25|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-26|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-27|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-28|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-29|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-30|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-01-31|4630.5|0|224.0|0|4.6142754145638065|0|4854.5|0
0|2020-02-01|4608.5|0|219.0|0|4.536509580528223|0|4827.5|0
0|2020-02-02|4608.5|0|219.0|0|4.536509580528223|0|4827.5|0
0|2020-02-03|4608.5|0|219.0|0|4.536509580528223|0|4827.5|0
0|2020-02-04|4608.5|0|219.0|0|4.536509580528223|0|4827.5|0
0|2020-02-05|4608.5|0|219.0|0|4.536509580528223|0|4827.5|0
0|2020-02-06|4608.5|0|219.0|0|4.536509580528223|0|4827.5|0
