|dates|Union_NewJersey_UnitedStates.BLS_EmployedPopulation.data|Union_NewJersey_UnitedStates.BLS_EmployedPopulation.missing|Union_NewJersey_UnitedStates.BLS_UnemployedPopulation.data|Union_NewJersey_UnitedStates.BLS_UnemployedPopulation.missing|Union_NewJersey_UnitedStates.BLS_UnemploymentRate.data|Union_NewJersey_UnitedStates.BLS_UnemploymentRate.missing|Union_NewJersey_UnitedStates.BLS_LaborForcePopulation.data|Union_NewJersey_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-02|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-03|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-04|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-05|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-06|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-07|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-08|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-09|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-10|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-11|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-12|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-13|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-14|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-15|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-16|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-17|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-18|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-19|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-20|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
0|2020-01-21|269748.0|0|12311.0|0|4.364689657128473|0|282059.0|0
