|dates|Douglas_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Douglas_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Douglas_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Douglas_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Douglas_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Douglas_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Douglas_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Douglas_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-02|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-03|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-04|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-05|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-06|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-07|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-08|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-09|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-10|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-11|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-12|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-13|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-14|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-15|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-16|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-17|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-18|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-19|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-20|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-21|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-22|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-23|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-24|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-25|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-26|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-27|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-28|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-29|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-30|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-01-31|1485.5|0|53.0|0|3.444913877153071|0|1538.5|0
0|2020-02-01|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-02|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-03|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-04|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-05|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-06|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-07|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-08|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-09|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-10|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-11|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-12|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-13|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-14|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-15|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-16|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-17|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-18|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-19|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-20|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-21|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-22|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-23|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-24|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-25|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-26|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-27|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-28|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-02-29|1485.0|0|56.5|0|3.6652611093091143|0|1541.5|0
0|2020-03-01|1530.0|0|49.5|0|3.133903133903134|0|1579.5|0
0|2020-03-02|1530.0|0|49.5|0|3.133903133903134|0|1579.5|0
0|2020-03-03|1530.0|0|49.5|0|3.133903133903134|0|1579.5|0
0|2020-03-04|1530.0|0|49.5|0|3.133903133903134|0|1579.5|0
