|dates|Westmoreland_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Westmoreland_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Westmoreland_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Westmoreland_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Westmoreland_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Westmoreland_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Westmoreland_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Westmoreland_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-02|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-03|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-04|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-05|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-06|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-07|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-08|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-09|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-10|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-11|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-12|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-13|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-14|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-15|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-16|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-17|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-18|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-19|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-20|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-21|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-22|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-23|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-24|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-25|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-26|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-27|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-28|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-29|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-30|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-01-31|171636.0|0|10028.5|0|5.52034106828797|0|181664.5|0
0|2020-02-01|172393.5|0|10174.5|0|5.572991981070067|0|182568.0|0
