|dates|Toole_Montana_UnitedStates.BLS_EmployedPopulation.data|Toole_Montana_UnitedStates.BLS_EmployedPopulation.missing|Toole_Montana_UnitedStates.BLS_UnemployedPopulation.data|Toole_Montana_UnitedStates.BLS_UnemployedPopulation.missing|Toole_Montana_UnitedStates.BLS_UnemploymentRate.data|Toole_Montana_UnitedStates.BLS_UnemploymentRate.missing|Toole_Montana_UnitedStates.BLS_LaborForcePopulation.data|Toole_Montana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-02|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-03|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-04|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-05|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-06|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-07|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-08|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-09|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-10|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-11|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-12|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-13|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-14|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-15|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-16|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-17|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-18|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-19|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-20|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-21|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-22|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-23|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-24|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-25|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-26|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-27|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-28|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-29|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-30|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-01-31|2017.5|0|69.0|0|3.3069734004313442|0|2086.5|0
0|2020-02-01|2024.5|0|69.5|0|3.3190066857688634|0|2094.0|0
0|2020-02-02|2024.5|0|69.5|0|3.3190066857688634|0|2094.0|0
0|2020-02-03|2024.5|0|69.5|0|3.3190066857688634|0|2094.0|0
0|2020-02-04|2024.5|0|69.5|0|3.3190066857688634|0|2094.0|0
