|dates|Apache_Arizona_UnitedStates.BLS_EmployedPopulation.data|Apache_Arizona_UnitedStates.BLS_EmployedPopulation.missing|Apache_Arizona_UnitedStates.BLS_UnemployedPopulation.data|Apache_Arizona_UnitedStates.BLS_UnemployedPopulation.missing|Apache_Arizona_UnitedStates.BLS_UnemploymentRate.data|Apache_Arizona_UnitedStates.BLS_UnemploymentRate.missing|Apache_Arizona_UnitedStates.BLS_LaborForcePopulation.data|Apache_Arizona_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-02|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-03|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-04|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-05|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-06|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-07|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-08|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-09|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-10|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-11|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-12|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-13|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-14|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-15|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-16|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-17|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-18|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-19|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-20|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-21|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-22|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-23|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-24|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-25|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
0|2020-01-26|18539.0|0|2326.5|0|11.149984424049268|0|20865.5|0
