|dates|Miami_Indiana_UnitedStates.AveragePrecipitationTotal.data|Miami_Indiana_UnitedStates.AveragePrecipitationTotal.missing|Miami_Indiana_UnitedStates.AveragePrecipitation.data|Miami_Indiana_UnitedStates.AveragePrecipitation.missing|Miami_Indiana_UnitedStates.AverageWindDirection.data|Miami_Indiana_UnitedStates.AverageWindDirection.missing|Miami_Indiana_UnitedStates.AverageWindSpeed.data|Miami_Indiana_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|226.80555555555557|0|13.25|0
0|2020-01-02|0.0|0|0.0|0|210.0|0|12.708333333333334|0
0|2020-01-03|0.0|0|0.0|0|270.8204365079365|0|4.908234126984127|0
0|2020-01-04|0.0|0|0.0|0|302.7708333333333|0|10.33611111111111|0
0|2020-01-05|0.0|0|0.0|0|246.80555555555557|0|15.361111111111109|0
0|2020-01-06|0.0|0|0.0|0|256.0416666666667|0|9.354166666666666|0
0|2020-01-07|0.0|0|0.0|0|195.83333333333334|0|8.3125|0
0|2020-01-08|0.0|0|0.0|0|187.8125|0|10.4|0
0|2020-01-09|0.0|0|0.0008680555555555556|0|150.76388888888889|0|14.795138888888888|0
0|2020-01-10|0.004166666666666667|0|0.016810515873015876|0|181.03075396825398|0|11.155059523809522|0
0|2020-01-11|0.01361111111111111|0|0.020079365079365082|0|208.1448412698413|0|11.367757936507937|0
0|2020-01-12|0.015833333333333335|0|6.944444444444444e-05|0|192.46527777777774|0|7.321180555555556|0
0|2020-01-13|0.0|0|0.0|0|193.2638888888889|0|8.15625|0
0|2020-01-14|0.0|0|0.0|0|201.41435185185188|0|9.087962962962964|0
0|2020-01-15|0.0|0|0.0|0|175.24636243386246|0|9.472652116402116|0
0|2020-01-16|0.0|0|0.0|0|286.97916666666663|0|13.946527777777776|0
0|2020-01-17|0.0|0|0.00010416666666666667|0|87.08333333333333|0|12.659722222222221|0
0|2020-01-18|0.00525|0|0.009090277777777779|0|218.08680555555554|0|20.539583333333336|0
0|2020-01-19|0.0014166666666666668|0|0.0|0|281.9108796296296|0|18.47199074074074|0
0|2020-01-20|0.0|0|0.0|0|240.02083333333334|0|4.452083333333333|0
0|2020-01-21|0.0|0|0.0|0|235.38690476190473|0|5.256944444444445|0
0|2020-01-22|0.0|0|0.0|0|180.41666666666666|0|8.916666666666666|0
0|2020-01-23|0.0|0|0.0005694444444444445|0|144.46527777777777|0|9.49097222222222|0
0|2020-01-24|0.000625|0|0.0022162698412698414|0|138.47718253968256|0|7.566170634920635|0
0|2020-01-25|0.0017708333333333335|0|0.0013506944444444445|0|237.07341269841268|0|13.02559523809524|0
0|2020-01-26|0.0014583333333333334|0|0.0|0|261.32936507936506|0|6.338789682539683|0
0|2020-01-27|0.0|0|0.0|0|286.25|0|7.354166666666667|0
0|2020-01-28|0.0|0|0.0|0|220.5|0|4.966666666666667|0
0|2020-01-29|0.0|0|0.0|0|62.395833333333336|0|3.1354166666666665|0
0|2020-01-30|0.0|0|0.0|0|66.66666666666667|0|3.125|0
0|2020-01-31|0.0|0|0.0|0|72.30555555555556|0|3.2618055555555556|0
0|2020-02-01|0.0|0|0.00010416666666666667|0|205.15277777777774|0|10.313888888888888|0
0|2020-02-02|0.0004166666666666667|0|0.0|0|251.45833333333334|0|17.229166666666668|0
0|2020-02-03|0.0|0|0.0|0|155.55092592592592|0|6.809027777777779|0
0|2020-02-04|0.0|0|0.0001388888888888889|0|132.22222222222223|0|12.368055555555557|0
0|2020-02-05|0.0004166666666666667|0|0.0021875|0|49.73214285714286|0|12.670138888888888|0
0|2020-02-06|0.00019230769230769228|0|0.0001388888888888889|0|161.43780525030522|0|7.9028807997558|0
0|2020-02-07|0.0001388888888888889|0|0.0|0|288.48214285714283|0|8.916170634920634|0
0|2020-02-08|0.0|0|0.0|0|228.08035714285714|0|6.214632936507936|0
0|2020-02-09|0.0|0|0.0059490740740740745|0|182.8935185185185|0|11.238425925925926|0
