|dates|Christian_Missouri_UnitedStates.BLS_EmployedPopulation.data|Christian_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Christian_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Christian_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Christian_Missouri_UnitedStates.BLS_UnemploymentRate.data|Christian_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Christian_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Christian_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-02|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-03|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-04|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-05|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-06|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-07|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-08|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-09|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-10|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-11|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-12|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-13|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-14|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-15|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-16|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-17|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-18|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-19|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-20|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-21|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-22|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-23|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-24|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-25|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-26|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-27|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-28|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-29|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-30|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-01-31|43896.0|0|1652.0|0|3.626943005181347|0|45548.0|0
0|2020-02-01|44235.5|0|1490.0|0|3.2585756306656024|0|45725.5|0
0|2020-02-02|44235.5|0|1490.0|0|3.2585756306656024|0|45725.5|0
0|2020-02-03|44235.5|0|1490.0|0|3.2585756306656024|0|45725.5|0
0|2020-02-04|44235.5|0|1490.0|0|3.2585756306656024|0|45725.5|0
0|2020-02-05|44235.5|0|1490.0|0|3.2585756306656024|0|45725.5|0
0|2020-02-06|44235.5|0|1490.0|0|3.2585756306656024|0|45725.5|0
0|2020-02-07|44235.5|0|1490.0|0|3.2585756306656024|0|45725.5|0
0|2020-02-08|44235.5|0|1490.0|0|3.2585756306656024|0|45725.5|0
