|dates|Montgomery_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Montgomery_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Montgomery_Texas_UnitedStates.Male_Total_Population.data|Montgomery_Texas_UnitedStates.Male_Total_Population.missing|Montgomery_Texas_UnitedStates.Female_Total_Population.data|Montgomery_Texas_UnitedStates.Female_Total_Population.missing|Montgomery_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Montgomery_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-02|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-03|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-04|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-05|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-06|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-07|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-08|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-09|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-10|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-11|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-12|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-13|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-14|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-15|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-16|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-17|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-18|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-19|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-20|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-21|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-22|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-23|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-24|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-25|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-26|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-27|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-28|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-29|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-30|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-01-31|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-01|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-02|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-03|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-04|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-05|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-06|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-07|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-08|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-09|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-10|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-11|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-12|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-13|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-14|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-15|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-16|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-17|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-18|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-19|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-20|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-21|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-22|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-23|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-24|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-25|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-26|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-27|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-28|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-02-29|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-03-01|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-03-02|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-03-03|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-03-04|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-03-05|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-03-06|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-03-07|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-03-08|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-03-09|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-03-10|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-03-11|77263.0|0|292758.0|0|298167.0|0|155734.0|0
0|2020-03-12|77263.0|0|292758.0|0|298167.0|0|155734.0|0
