|dates|Andrews_Texas_UnitedStates.BLS_EmployedPopulation.data|Andrews_Texas_UnitedStates.BLS_EmployedPopulation.missing|Andrews_Texas_UnitedStates.BLS_UnemployedPopulation.data|Andrews_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Andrews_Texas_UnitedStates.BLS_UnemploymentRate.data|Andrews_Texas_UnitedStates.BLS_UnemploymentRate.missing|Andrews_Texas_UnitedStates.BLS_LaborForcePopulation.data|Andrews_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-02|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-03|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-04|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-05|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-06|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-07|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-08|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-09|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-10|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-11|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-12|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-13|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-14|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-15|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-16|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-17|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-18|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-19|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
0|2020-01-20|9603.5|0|251.0|0|2.5470597189101425|0|9854.5|0
