|dates|Hartley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hartley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hartley_Texas_UnitedStates.Male_Total_Population.data|Hartley_Texas_UnitedStates.Male_Total_Population.missing|Hartley_Texas_UnitedStates.Female_Total_Population.data|Hartley_Texas_UnitedStates.Female_Total_Population.missing|Hartley_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Hartley_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-02|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-03|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-04|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-05|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-06|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-07|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-08|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-09|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-10|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-11|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-12|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-13|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-14|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-15|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-16|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-17|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-18|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-19|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-20|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-21|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-22|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-23|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-24|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-25|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-26|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-27|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-28|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-29|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-30|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-01-31|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-01|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-02|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-03|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-04|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-05|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-06|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-07|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-08|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-09|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-10|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-11|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-12|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-13|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-14|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-15|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-16|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-17|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-18|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-19|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-20|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-21|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-22|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-23|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-24|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-25|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-26|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-27|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-28|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-02-29|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-03-01|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-03-02|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-03-03|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-03-04|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-03-05|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-03-06|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-03-07|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-03-08|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-03-09|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-03-10|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-03-11|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2020-03-12|854.0|0|3365.0|0|2254.0|0|1184.0|0
