|dates|LeSueur_Minnesota_UnitedStates.BLS_EmployedPopulation.data|LeSueur_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|LeSueur_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|LeSueur_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|LeSueur_Minnesota_UnitedStates.BLS_UnemploymentRate.data|LeSueur_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|LeSueur_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|LeSueur_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-02|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-03|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-04|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-05|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-06|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-07|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-08|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-09|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-10|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-11|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-12|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-13|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-14|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-15|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-16|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-17|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-18|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-19|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-20|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-21|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-22|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-23|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-24|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-25|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-26|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-27|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-28|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-29|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-30|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-01-31|15467.5|0|1169.0|0|7.02671836023202|0|16636.5|0
0|2020-02-01|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-02|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-03|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-04|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-05|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-06|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-07|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-08|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-09|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-10|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-11|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-12|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-13|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-14|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-15|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-16|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-17|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
0|2020-02-18|15542.0|0|1069.5|0|6.438310808777052|0|16611.5|0
