|dates|NezPerce_Idaho_UnitedStates.BLS_EmployedPopulation.data|NezPerce_Idaho_UnitedStates.BLS_EmployedPopulation.missing|NezPerce_Idaho_UnitedStates.BLS_UnemployedPopulation.data|NezPerce_Idaho_UnitedStates.BLS_UnemployedPopulation.missing|NezPerce_Idaho_UnitedStates.BLS_UnemploymentRate.data|NezPerce_Idaho_UnitedStates.BLS_UnemploymentRate.missing|NezPerce_Idaho_UnitedStates.BLS_LaborForcePopulation.data|NezPerce_Idaho_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-02|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-03|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-04|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-05|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-06|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-07|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-08|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-09|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-10|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-11|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-12|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-13|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-14|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-15|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-16|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-17|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-18|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-19|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-20|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-21|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-22|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-23|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-24|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-25|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-26|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
0|2020-01-27|20484.5|0|746.0|0|3.513812675160736|0|21230.5|0
