|dates|SanBernardino_California_UnitedStates.BLS_EmployedPopulation.data|SanBernardino_California_UnitedStates.BLS_EmployedPopulation.missing|SanBernardino_California_UnitedStates.BLS_UnemployedPopulation.data|SanBernardino_California_UnitedStates.BLS_UnemployedPopulation.missing|SanBernardino_California_UnitedStates.BLS_UnemploymentRate.data|SanBernardino_California_UnitedStates.BLS_UnemploymentRate.missing|SanBernardino_California_UnitedStates.BLS_LaborForcePopulation.data|SanBernardino_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-02|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-03|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-04|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-05|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-06|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-07|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-08|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-09|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-10|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-11|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-12|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-13|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-14|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-15|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-16|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-17|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-18|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-19|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-20|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-21|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-22|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-23|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-24|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-25|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-26|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-27|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-28|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-29|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-30|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-01-31|935761.0|0|38276.0|0|3.9296248499800317|0|974037.0|0
0|2020-02-01|938211.5|0|36821.5|0|3.77643628472062|0|975033.0|0
0|2020-02-02|938211.5|0|36821.5|0|3.77643628472062|0|975033.0|0
0|2020-02-03|938211.5|0|36821.5|0|3.77643628472062|0|975033.0|0
0|2020-02-04|938211.5|0|36821.5|0|3.77643628472062|0|975033.0|0
0|2020-02-05|938211.5|0|36821.5|0|3.77643628472062|0|975033.0|0
0|2020-02-06|938211.5|0|36821.5|0|3.77643628472062|0|975033.0|0
0|2020-02-07|938211.5|0|36821.5|0|3.77643628472062|0|975033.0|0
0|2020-02-08|938211.5|0|36821.5|0|3.77643628472062|0|975033.0|0
0|2020-02-09|938211.5|0|36821.5|0|3.77643628472062|0|975033.0|0
0|2020-02-10|938211.5|0|36821.5|0|3.77643628472062|0|975033.0|0
0|2020-02-11|938211.5|0|36821.5|0|3.77643628472062|0|975033.0|0
0|2020-02-12|938211.5|0|36821.5|0|3.77643628472062|0|975033.0|0
