|dates|Harrison_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Harrison_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Harrison_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Harrison_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Harrison_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Harrison_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Harrison_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Harrison_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-02|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-03|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-04|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-05|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-06|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-07|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-08|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-09|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-10|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-11|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-12|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-13|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-14|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-15|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-16|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-17|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-18|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-19|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-20|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-21|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-22|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-23|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-24|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-25|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-26|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-27|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-28|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
0|2020-01-29|8473.5|0|398.5|0|4.49165915238954|0|8872.0|0
