|dates|Grant_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Grant_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Grant_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Grant_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Grant_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Grant_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Grant_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Grant_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-02|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-03|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-04|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-05|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-06|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-07|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-08|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-09|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-10|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-11|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-12|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-13|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-14|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-15|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-16|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-17|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-18|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-19|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-20|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-21|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-22|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-23|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-24|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-25|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-26|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-27|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-28|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-29|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-30|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-01-31|11230.5|0|570.0|0|4.830303800686411|0|11800.5|0
0|2020-02-01|11255.0|0|535.5|0|4.541792120775201|0|11790.5|0
0|2020-02-02|11255.0|0|535.5|0|4.541792120775201|0|11790.5|0
0|2020-02-03|11255.0|0|535.5|0|4.541792120775201|0|11790.5|0
0|2020-02-04|11255.0|0|535.5|0|4.541792120775201|0|11790.5|0
0|2020-02-05|11255.0|0|535.5|0|4.541792120775201|0|11790.5|0
0|2020-02-06|11255.0|0|535.5|0|4.541792120775201|0|11790.5|0
0|2020-02-07|11255.0|0|535.5|0|4.541792120775201|0|11790.5|0
0|2020-02-08|11255.0|0|535.5|0|4.541792120775201|0|11790.5|0
0|2020-02-09|11255.0|0|535.5|0|4.541792120775201|0|11790.5|0
0|2020-02-10|11255.0|0|535.5|0|4.541792120775201|0|11790.5|0
0|2020-02-11|11255.0|0|535.5|0|4.541792120775201|0|11790.5|0
0|2020-02-12|11255.0|0|535.5|0|4.541792120775201|0|11790.5|0
0|2020-02-13|11255.0|0|535.5|0|4.541792120775201|0|11790.5|0
0|2020-02-14|11255.0|0|535.5|0|4.541792120775201|0|11790.5|0
