|dates|LaPaz_Arizona_UnitedStates.BLS_EmployedPopulation.data|LaPaz_Arizona_UnitedStates.BLS_EmployedPopulation.missing|LaPaz_Arizona_UnitedStates.BLS_UnemployedPopulation.data|LaPaz_Arizona_UnitedStates.BLS_UnemployedPopulation.missing|LaPaz_Arizona_UnitedStates.BLS_UnemploymentRate.data|LaPaz_Arizona_UnitedStates.BLS_UnemploymentRate.missing|LaPaz_Arizona_UnitedStates.BLS_LaborForcePopulation.data|LaPaz_Arizona_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-02|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-03|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-04|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-05|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-06|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-07|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-08|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-09|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-10|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-11|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-12|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-13|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-14|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-15|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-16|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-17|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-18|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-19|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-20|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-21|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-22|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-23|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-24|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-25|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
0|2020-01-26|9024.0|0|590.5|0|6.141765042383899|0|9614.5|0
