|dates|Greeley_Kansas_UnitedStates.BLS_EmployedPopulation.data|Greeley_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Greeley_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Greeley_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Greeley_Kansas_UnitedStates.BLS_UnemploymentRate.data|Greeley_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Greeley_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Greeley_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-02|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-03|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-04|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-05|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-06|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-07|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-08|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-09|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-10|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-11|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-12|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-13|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-14|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-15|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-16|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-17|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-18|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-19|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-20|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-21|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-22|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-23|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-24|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-25|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-26|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-27|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-28|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-29|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-30|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-01-31|771.5|0|15.0|0|1.9071837253655435|0|786.5|0
0|2020-02-01|775.0|0|14.0|0|1.7743979721166032|0|789.0|0
0|2020-02-02|775.0|0|14.0|0|1.7743979721166032|0|789.0|0
0|2020-02-03|775.0|0|14.0|0|1.7743979721166032|0|789.0|0
0|2020-02-04|775.0|0|14.0|0|1.7743979721166032|0|789.0|0
0|2020-02-05|775.0|0|14.0|0|1.7743979721166032|0|789.0|0
0|2020-02-06|775.0|0|14.0|0|1.7743979721166032|0|789.0|0
0|2020-02-07|775.0|0|14.0|0|1.7743979721166032|0|789.0|0
0|2020-02-08|775.0|0|14.0|0|1.7743979721166032|0|789.0|0
0|2020-02-09|775.0|0|14.0|0|1.7743979721166032|0|789.0|0
0|2020-02-10|775.0|0|14.0|0|1.7743979721166032|0|789.0|0
0|2020-02-11|775.0|0|14.0|0|1.7743979721166032|0|789.0|0
