|dates|Carbon_Utah_UnitedStates.BLS_EmployedPopulation.data|Carbon_Utah_UnitedStates.BLS_EmployedPopulation.missing|Carbon_Utah_UnitedStates.BLS_UnemployedPopulation.data|Carbon_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Carbon_Utah_UnitedStates.BLS_UnemploymentRate.data|Carbon_Utah_UnitedStates.BLS_UnemploymentRate.missing|Carbon_Utah_UnitedStates.BLS_LaborForcePopulation.data|Carbon_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-02|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-03|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-04|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-05|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-06|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-07|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-08|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-09|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-10|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-11|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-12|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-13|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-14|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-15|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-16|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-17|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-18|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-19|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
0|2020-01-20|8172.0|0|330.0|0|3.881439661256175|0|8502.0|0
