|dates|Darlington_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Darlington_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Darlington_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Darlington_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Darlington_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Darlington_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Darlington_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Darlington_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-02|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-03|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-04|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-05|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-06|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-07|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-08|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-09|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-10|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-11|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-12|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-13|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-14|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-15|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-16|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-17|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-18|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-19|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-20|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-21|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-22|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-23|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-24|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-25|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-26|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-27|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-28|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-29|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-30|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-01-31|29172.0|0|1050.5|0|3.475887170154686|0|30222.5|0
0|2020-02-01|29200.0|0|1015.0|0|3.359258646367698|0|30215.0|0
0|2020-02-02|29200.0|0|1015.0|0|3.359258646367698|0|30215.0|0
0|2020-02-03|29200.0|0|1015.0|0|3.359258646367698|0|30215.0|0
0|2020-02-04|29200.0|0|1015.0|0|3.359258646367698|0|30215.0|0
0|2020-02-05|29200.0|0|1015.0|0|3.359258646367698|0|30215.0|0
0|2020-02-06|29200.0|0|1015.0|0|3.359258646367698|0|30215.0|0
0|2020-02-07|29200.0|0|1015.0|0|3.359258646367698|0|30215.0|0
