|dates|York_Virginia_UnitedStates.BLS_EmployedPopulation.data|York_Virginia_UnitedStates.BLS_EmployedPopulation.missing|York_Virginia_UnitedStates.BLS_UnemployedPopulation.data|York_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|York_Virginia_UnitedStates.BLS_UnemploymentRate.data|York_Virginia_UnitedStates.BLS_UnemploymentRate.missing|York_Virginia_UnitedStates.BLS_LaborForcePopulation.data|York_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-02|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-03|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-04|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-05|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-06|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-07|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-08|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-09|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-10|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-11|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-12|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-13|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-14|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-15|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-16|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-17|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-18|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-19|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-20|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-21|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-22|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-23|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-24|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-25|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-26|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
0|2020-01-27|32211.0|0|928.5|0|2.8017924229393927|0|33139.5|0
