|dates|Sumter_Florida_UnitedStates.AveragePrecipitationTotal.data|Sumter_Florida_UnitedStates.AveragePrecipitationTotal.missing|Sumter_Florida_UnitedStates.AveragePrecipitation.data|Sumter_Florida_UnitedStates.AveragePrecipitation.missing|Sumter_Florida_UnitedStates.AverageWindDirection.data|Sumter_Florida_UnitedStates.AverageWindDirection.missing|Sumter_Florida_UnitedStates.AverageWindSpeed.data|Sumter_Florida_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|43.697916666666664|0|1.234375|0
0|2020-01-02|0.0|0|0.0|0|32.916666666666664|0|1.53125|0
0|2020-01-03|0.0|0|0.0|0|129.27083333333334|0|5.65625|0
0|2020-01-04|0.0|0|0.004166666666666667|0|221.66666666666666|0|6.572916666666667|0
0|2020-01-05|0.0|0|0.0|0|144.375|0|2.9114583333333335|0
0|2020-01-06|0.0|0|0.0|0|39.583333333333336|0|0.9270833333333334|0
0|2020-01-07|0.0|0|0.0|0|84.47916666666667|0|1.5416666666666667|0
0|2020-01-08|0.0|0|0.0|0|105.10416666666667|0|3.1458333333333335|0
0|2020-01-09|0.0|0|0.0|0|42.604166666666664|0|3.625|0
0|2020-01-10|0.0|0|0.0|0|61.510416666666664|0|3.4166666666666665|0
0|2020-01-11|0.0|0|0.0|0|92.23958333333333|0|5.833333333333333|0
0|2020-01-12|0.0|0|0.0|0|71.25|0|2.7916666666666665|0
0|2020-01-13|0.0|0|0.0|0|38.229166666666664|0|1.8958333333333333|0
0|2020-01-14|0.0|0|0.0|0|23.645833333333332|0|0.7604166666666666|0
0|2020-01-15|0.0|0|0.0|0|54.895833333333336|0|0.9270833333333334|0
0|2020-01-16|0.0|0|0.0|0|74.89583333333333|0|0.9947916666666666|0
0|2020-01-17|0.0|0|0.0|0|52.760416666666664|0|8.140625|0
0|2020-01-18|0.0|0|0.0|0|48.125|0|2.7916666666666665|0
0|2020-01-19|0.0|0|0.0|0|143.125|0|3.71875|0
0|2020-01-20|0.0|0|0.0|0|275.8333333333333|0|7.59375|0
0|2020-01-21|0.0|0|0.0|0|311.25|0|8.5625|0
0|2020-01-22|0.0|0|0.0|0|171.77083333333334|0|7.760416666666667|0
0|2020-01-23|0.0|0|0.0|0|25.833333333333332|0|2.3125|0
0|2020-01-24|0.0|0|0.0|0|59.479166666666664|0|1.46875|0
0|2020-01-25|0.0|0|0.0|0|117.08333333333333|0|2.125|0
0|2020-01-26|0.0|0|0.0|0|52.395833333333336|0|1.2916666666666667|0
0|2020-01-27|0.0|0|0.0|0|27.395833333333332|0|0.5625|0
0|2020-01-28|0.0|0|0.0|0|35.3125|0|4.28125|0
0|2020-01-29|0.0|0|0.0|0|13.802083333333334|0|0.6979166666666666|0
0|2020-01-30|0.0|0|0.0|0|104.27083333333333|0|7.25|0
0|2020-01-31|0.0|0|0.0007291666666666667|0|61.041666666666664|0|2.96875|0
0|2020-02-01|0.0|0|0.0031249999999999997|0|132.96875|0|2.109375|0
0|2020-02-02|0.0|0|0.0|0|169.01041666666666|0|2.65625|0
0|2020-02-03|0.0|0|0.0|0|41.666666666666664|0|0.75|0
0|2020-02-04|0.0|0|0.0|0|54.479166666666664|0|1.6354166666666667|0
0|2020-02-05|0.0|0|0.0|0|71.25|0|3.3854166666666665|0
0|2020-02-06|0.0|0|0.010625|0|187.1875|0|12.682291666666666|0
