|dates|Buchanan_Missouri_UnitedStates.BLS_EmployedPopulation.data|Buchanan_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Buchanan_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Buchanan_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Buchanan_Missouri_UnitedStates.BLS_UnemploymentRate.data|Buchanan_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Buchanan_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Buchanan_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-02|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-03|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-04|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-05|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-06|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-07|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-08|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-09|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-10|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-11|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-12|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-13|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-14|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-15|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-16|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-17|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-18|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-19|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
0|2020-01-20|42605.5|0|1666.5|0|3.764230213227322|0|44272.0|0
